                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2912,                 1.6849,                 1.4218,                0.81932,                0.10241,                0.45869,                0.33597,                 1.7276,                 2.6273,                  1.862,               0.070079,              0.0033246,              0.0033246
                      2,                  1.296,                 1.4626,                 1.4247,                0.73332,                0.48484,                0.60849,                0.41654,                 1.4065,                 1.7414,                 1.5419,               0.039947,              0.0065261,              0.0065261
                      3,                 1.2122,                 1.3266,                 1.3736,                0.79243,                0.57896,                0.70084,                0.51616,                 1.1776,                  1.345,                 1.4145,              0.0096833,              0.0095956,              0.0095956
                      4,                 1.1234,                  1.208,                 1.3236,                0.83594,                0.62326,                0.74119,                0.58515,                 1.0354,                 1.0915,                 1.2844,               0.009406,               0.009406,               0.009406
                      5,                 1.0578,                 1.1063,                 1.2769,                0.86617,                0.65698,                 0.7707,                0.62255,                0.98869,                0.95005,                 1.2286,               0.009406,               0.009406,               0.009406
                      6,                 1.0197,                 1.0595,                 1.2569,                0.83546,                0.74358,                0.81372,                0.66737,                0.88308,                0.86463,                 1.1563,               0.009208,               0.009208,               0.009208
                      7,                 0.9777,                0.99269,                  1.223,                0.83449,                0.72989,                0.79152,                0.64725,                0.90117,                0.86799,                 1.1828,                0.00901,                0.00901,                0.00901
                      8,                0.94665,                 0.9439,                   1.21,                0.84101,                0.74764,                0.81703,                0.66686,                0.86871,                0.87062,                 1.1599,               0.008812,               0.008812,               0.008812
                      9,                0.90863,                0.91624,                 1.1843,                 0.8731,                0.77312,                0.84216,                0.70191,                0.82519,                 0.7603,                 1.1206,               0.008614,               0.008614,               0.008614
                     10,                0.91072,                0.90414,                 1.1818,                0.87862,                0.73877,                0.82072,                0.70109,                0.78815,                0.74637,                 1.1061,               0.008416,               0.008416,               0.008416
                     11,                0.88781,                0.89359,                 1.1711,                0.89516,                0.69596,                0.80544,                0.67814,                0.85375,                0.79538,                 1.1345,               0.008218,               0.008218,               0.008218
                     12,                0.86935,                0.85815,                 1.1623,                 0.8753,                0.79319,                0.85578,                 0.7361,                0.74862,                0.68017,                  1.074,                0.00802,                0.00802,                0.00802
                     13,                0.86375,                0.85083,                 1.1584,                0.87814,                0.77829,                0.84285,                0.72782,                0.73323,                0.68849,                 1.0639,               0.007822,               0.007822,               0.007822
                     14,                0.84952,                0.82752,                  1.147,                0.88741,                0.80254,                0.86431,                0.74572,                 0.7242,                0.66017,                 1.0613,               0.007624,               0.007624,               0.007624
                     15,                0.82388,                0.80235,                 1.1337,                 0.8607,                0.83669,                0.87918,                0.75842,                0.70043,                0.64279,                 1.0456,               0.007426,               0.007426,               0.007426
                     16,                0.81426,                0.78628,                 1.1327,                0.88702,                0.82268,                 0.8787,                 0.7682,                0.68229,                0.62989,                 1.0384,               0.007228,               0.007228,               0.007228
                     17,                0.80092,                0.77486,                 1.1244,                0.88303,                0.81178,                0.86749,                0.75607,                 0.6892,                0.63038,                 1.0419,                0.00703,                0.00703,                0.00703
                     18,                0.79708,                0.76459,                 1.1217,                0.88832,                0.81623,                0.87187,                0.76455,                 0.6729,                0.62616,                 1.0344,               0.006832,               0.006832,               0.006832
                     19,                0.78822,                 0.7533,                 1.1106,                0.88082,                0.83572,                0.87934,                0.77167,                0.67085,                0.61018,                 1.0332,               0.006634,               0.006634,               0.006634
                     20,                0.78625,                0.74618,                 1.1143,                0.87238,                  0.811,                0.86895,                0.76202,                0.66505,                0.62242,                 1.0346,               0.006436,               0.006436,               0.006436
                     21,                0.76213,                0.73016,                 1.1025,                0.88365,                0.84768,                0.88673,                0.77139,                0.67059,                 0.6072,                 1.0319,               0.006238,               0.006238,               0.006238
                     22,                 0.7621,                0.71987,                 1.0996,                0.89518,                0.84775,                0.89481,                0.78942,                 0.6394,                0.56929,                 1.0098,                0.00604,                0.00604,                0.00604
                     23,                0.74927,                0.70196,                 1.0958,                0.88107,                0.83174,                0.88157,                0.77694,                0.65347,                0.59938,                 1.0151,               0.005842,               0.005842,               0.005842
                     24,                0.74421,                0.70076,                 1.0834,                0.88271,                0.84686,                0.88978,                 0.7878,                0.63134,                0.58368,                 1.0087,               0.005644,               0.005644,               0.005644
                     25,                0.74526,                0.69421,                 1.0932,                0.88788,                0.86032,                0.89926,                0.79733,                0.61434,                0.55505,                 1.0058,               0.005446,               0.005446,               0.005446
                     26,                0.73259,                0.68151,                 1.0859,                0.90269,                0.84939,                0.89737,                0.79841,                0.61045,                0.54881,                0.99031,               0.005248,               0.005248,               0.005248
                     27,                0.72045,                0.67422,                 1.0786,                0.91449,                0.85361,                0.90392,                0.80562,                0.61469,                 0.5307,                0.99163,                0.00505,                0.00505,                0.00505
                     28,                0.70977,                0.65843,                 1.0736,                0.88955,                0.86252,                0.90323,                0.80268,                0.61254,                0.53548,                0.99239,               0.004852,               0.004852,               0.004852
                     29,                0.71655,                0.65936,                 1.0775,                0.89204,                0.85259,                0.89766,                0.79744,                0.60465,                0.54684,                0.99233,               0.004654,               0.004654,               0.004654
                     30,                0.69917,                0.64933,                 1.0694,                0.89481,                0.87226,                0.90715,                0.81056,                0.59428,                 0.5332,                0.98495,               0.004456,               0.004456,               0.004456
                     31,                0.69529,                0.63577,                 1.0607,                0.89313,                0.86011,                0.89926,                0.80339,                0.58917,                0.52255,                0.97905,               0.004258,               0.004258,               0.004258
                     32,                0.69446,                0.62211,                 1.0589,                0.89836,                0.87184,                0.90893,                0.81714,                0.58281,                0.50831,                0.97547,                0.00406,                0.00406,                0.00406
                     33,                0.67968,                0.61469,                 1.0529,                0.90499,                0.87161,                0.90922,                0.81892,                0.57489,                 0.4965,                0.97177,               0.003862,               0.003862,               0.003862
                     34,                0.68419,                0.61704,                 1.0575,                0.90099,                0.86026,                0.90394,                0.81348,                0.57819,                0.51264,                0.97525,               0.003664,               0.003664,               0.003664
                     35,                0.66778,                0.60787,                 1.0479,                0.88948,                0.85964,                0.90207,                0.81532,                0.56133,                0.50783,                0.96291,               0.003466,               0.003466,               0.003466
                     36,                 0.6683,                0.59972,                 1.0448,                0.89731,                0.86768,                0.90776,                0.82079,                0.55895,                0.49318,                0.96355,               0.003268,               0.003268,               0.003268
                     37,                0.65996,                0.58761,                 1.0428,                0.90541,                0.85975,                0.90282,                0.81386,                0.56909,                0.50464,                0.96966,                0.00307,                0.00307,                0.00307
                     38,                0.65154,                0.57804,                 1.0383,                0.90589,                0.87831,                0.91647,                0.82844,                0.55775,                0.48661,                0.96522,               0.002872,               0.002872,               0.002872
                     39,                0.64675,                0.57399,                 1.0356,                0.90172,                0.87502,                0.91314,                0.82757,                0.54975,                0.48008,                0.95922,               0.002674,               0.002674,               0.002674
                     40,                0.63705,                0.56102,                 1.0263,                0.90153,                 0.8803,                 0.9168,                0.83064,                0.54604,                0.47654,                0.95636,               0.002476,               0.002476,               0.002476
                     41,                0.56401,                0.46285,                0.98906,                0.89449,                0.88308,                0.91552,                0.82774,                0.55668,                0.48385,                0.96499,               0.002278,               0.002278,               0.002278
                     42,                0.54642,                0.44204,                0.97697,                0.89204,                0.87941,                0.91323,                0.82885,                0.54719,                0.48515,                0.95905,                0.00208,                0.00208,                0.00208
                     43,                0.53373,                0.42579,                 0.9682,                0.90622,                0.86972,                0.91102,                0.83055,                0.53786,                0.47416,                0.95042,               0.001882,               0.001882,               0.001882
                     44,                0.52956,                0.42539,                 0.9681,                0.90154,                0.88369,                 0.9178,                0.83695,                0.53088,                0.46835,                0.94671,               0.001684,               0.001684,               0.001684
                     45,                0.52144,                0.40996,                0.95836,                0.91141,                0.87932,                0.91724,                0.83683,                0.53258,                0.46166,                0.94811,               0.001486,               0.001486,               0.001486
                     46,                0.51538,                0.41175,                0.95607,                0.90061,                0.88134,                0.91639,                0.83445,                0.53094,                0.46115,                0.94889,               0.001288,               0.001288,               0.001288
                     47,                0.50542,                0.39827,                0.95183,                0.90062,                0.88645,                0.91827,                0.83921,                0.52546,                0.46152,                0.94584,                0.00109,                0.00109,                0.00109
                     48,                0.49667,                0.39129,                0.94704,                0.90865,                0.88369,                0.92081,                0.84413,                0.51863,                0.44984,                0.93906,               0.000892,               0.000892,               0.000892
                     49,                0.49213,                0.38188,                0.94309,                0.91547,                  0.882,                0.92285,                0.84705,                0.51389,                0.44118,                0.93844,               0.000694,               0.000694,               0.000694
                     50,                0.48663,                0.37207,                0.93963,                0.90722,                0.88327,                0.92038,                0.84326,                0.51931,                0.45004,                0.94207,               0.000496,               0.000496,               0.000496
