                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.72259,                0.65823,                  1.075,                0.89228,                0.85371,                0.89621,                0.79972,                0.59717,                0.52451,                0.98796,                0.00769,                0.00769,                0.00769
                     38,                0.71548,                0.65129,                 1.0706,                0.89347,                 0.8577,                0.90037,                0.79923,                0.59895,                0.53282,                0.98425,               0.007624,               0.007624,               0.007624
                     39,                0.71652,                0.64742,                 1.0714,                0.89515,                0.86658,                0.90403,                 0.8109,                0.58747,                0.52047,                0.97795,               0.007558,               0.007558,               0.007558
                     40,                 0.7055,                0.63865,                 1.0653,                 0.8925,                0.85883,                0.90041,                0.80739,                0.58633,                0.53612,                0.97842,               0.007492,               0.007492,               0.007492
                     41,                0.70809,                0.64405,                 1.0697,                0.89541,                0.87048,                0.90763,                0.81891,                0.57908,                0.50403,                0.97072,               0.007426,               0.007426,               0.007426
                     42,                 0.6997,                0.63456,                 1.0622,                0.89701,                0.87148,                0.90933,                0.81654,                0.58017,                0.51346,                0.97443,                0.00736,                0.00736,                0.00736
                     43,                0.70067,                0.63719,                 1.0645,                0.89666,                0.87653,                 0.9115,                0.82099,                0.57176,                0.49053,                 0.9716,               0.007294,               0.007294,               0.007294
                     44,                0.69725,                0.62893,                 1.0619,                0.89728,                0.87604,                0.91397,                0.82276,                0.56008,                0.48777,                0.96331,               0.007228,               0.007228,               0.007228
                     45,                0.68789,                0.61703,                 1.0583,                0.88886,                0.87333,                0.90811,                0.81945,                0.57169,                0.50042,                0.97119,               0.007162,               0.007162,               0.007162
                     46,                0.68753,                0.61672,                 1.0544,                0.89575,                0.85234,                0.89673,                 0.8123,                0.55972,                0.50469,                0.96183,               0.007096,               0.007096,               0.007096
                     47,                0.68549,                0.60984,                 1.0496,                0.88571,                0.87028,                0.90735,                0.81813,                0.56472,                0.49921,                0.97013,                0.00703,                0.00703,                0.00703
                     48,                0.67786,                0.59739,                 1.0492,                0.89961,                0.86645,                0.90804,                0.82153,                0.56038,                0.48799,                0.96513,               0.006964,               0.006964,               0.006964
                     49,                0.68487,                0.60743,                 1.0556,                0.89332,                0.87766,                0.91198,                0.82351,                0.56088,                0.49231,                0.96697,               0.006898,               0.006898,               0.006898
                     50,                0.68264,                0.61316,                 1.0529,                0.89709,                0.87248,                0.90921,                0.82355,                 0.5533,                0.48436,                0.95973,               0.006832,               0.006832,               0.006832
                     51,                 0.6636,                0.58542,                 1.0406,                0.90272,                0.88022,                0.91392,                0.82972,                0.55038,                0.47521,                0.95917,               0.006766,               0.006766,               0.006766
                     52,                 0.6666,                0.59218,                 1.0437,                0.90677,                0.88191,                0.91616,                0.83073,                 0.5574,                0.47788,                0.96213,                 0.0067,                 0.0067,                 0.0067
                     53,                0.66021,                0.58314,                 1.0365,                0.89788,                0.87786,                0.91562,                 0.8292,                0.54964,                0.47906,                 0.9573,               0.006634,               0.006634,               0.006634
                     54,                 0.6669,                 0.5814,                 1.0424,                0.89903,                0.86958,                0.90883,                0.82638,                0.55086,                0.48445,                0.95228,               0.006568,               0.006568,               0.006568
                     55,                0.66342,                0.58443,                 1.0407,                0.90464,                0.87826,                0.91471,                0.83248,                0.53924,                0.47427,                0.95377,               0.006502,               0.006502,               0.006502
                     56,                0.65461,                0.57219,                 1.0347,                0.90437,                0.87736,                 0.9164,                0.83437,                0.54311,                0.46594,                0.95592,               0.006436,               0.006436,               0.006436
                     57,                0.65839,                 0.5794,                 1.0386,                0.90656,                0.88145,                0.91747,                0.83588,                0.53968,                0.46697,                 0.9552,                0.00637,                0.00637,                0.00637
                     58,                0.65066,                0.57114,                 1.0354,                0.89894,                0.88056,                0.91543,                0.83599,                0.53232,                0.46235,                0.94692,               0.006304,               0.006304,               0.006304
                     59,                0.64997,                0.56786,                 1.0327,                0.90246,                0.88435,                0.91843,                0.83629,                0.53425,                0.45549,                0.94726,               0.006238,               0.006238,               0.006238
                     60,                0.64523,                0.55781,                 1.0311,                 0.9037,                0.88138,                0.91767,                  0.836,                0.53487,                0.46218,                0.94831,               0.006172,               0.006172,               0.006172
                     61,                0.64446,                0.55707,                 1.0308,                0.89849,                0.88605,                0.91723,                0.83609,                0.53175,                 0.4631,                0.94674,               0.006106,               0.006106,               0.006106
                     62,                0.63855,                0.54893,                 1.0279,                0.89375,                0.88873,                0.91737,                0.83704,                0.52677,                0.45972,                0.94707,                0.00604,                0.00604,                0.00604
                     63,                0.63224,                0.55121,                 1.0243,                 0.9022,                0.87862,                0.91507,                0.83544,                 0.5285,                0.45668,                0.94826,               0.005974,               0.005974,               0.005974
                     64,                0.64258,                0.55446,                 1.0298,                 0.8981,                0.88081,                0.91532,                0.83689,                0.52853,                0.46739,                0.94708,               0.005908,               0.005908,               0.005908
                     65,                0.63377,                0.54615,                 1.0238,                0.89907,                0.88253,                0.91421,                0.83634,                0.52628,                0.46815,                0.94771,               0.005842,               0.005842,               0.005842
                     66,                  0.636,                0.54596,                 1.0213,                0.89755,                0.88689,                0.91748,                0.83514,                0.52693,                0.45591,                0.94673,               0.005776,               0.005776,               0.005776
                     67,                0.63976,                 0.5468,                 1.0274,                0.90483,                0.88661,                0.91819,                0.83825,                0.51858,                 0.4554,                0.93737,                0.00571,                0.00571,                0.00571
                     68,                0.62717,                0.53773,                 1.0203,                0.89566,                0.88877,                0.91845,                0.83976,                0.52123,                 0.4627,                0.93921,               0.005644,               0.005644,               0.005644
                     69,                0.62505,                0.53759,                 1.0213,                0.91154,                0.89356,                0.92358,                0.84347,                0.51646,                0.44205,                0.94187,               0.005578,               0.005578,               0.005578
                     70,                0.62646,                0.54107,                 1.0201,                0.90469,                0.88261,                0.91854,                0.84077,                0.51553,                0.44494,                0.93987,               0.005512,               0.005512,               0.005512
                     71,                0.62374,                0.52909,                 1.0192,                0.91685,                0.88189,                0.92239,                0.84556,                 0.5127,                0.44031,                0.93908,               0.005446,               0.005446,               0.005446
                     72,                 0.6241,                0.53243,                 1.0187,                0.91421,                0.88951,                 0.9262,                0.84575,                0.51555,                0.43657,                0.94126,                0.00538,                0.00538,                0.00538
                     73,                0.61833,                0.52185,                 1.0171,                0.91543,                0.88357,                0.92098,                0.84231,                0.51287,                0.44759,                0.93757,               0.005314,               0.005314,               0.005314
                     74,                 0.6207,                0.52645,                  1.015,                0.90077,                0.89178,                0.92279,                0.84581,                0.50665,                0.44395,                0.93379,               0.005248,               0.005248,               0.005248
                     75,                0.61331,                0.52062,                 1.0101,                0.91283,                0.88088,                0.92194,                0.84543,                0.50905,                0.44351,                0.93677,               0.005182,               0.005182,               0.005182
                     76,                0.61473,                0.51947,                 1.0123,                0.90867,                0.87908,                 0.9206,                  0.844,                0.50864,                0.44644,                0.93525,               0.005116,               0.005116,               0.005116
                     77,                0.61115,                0.51126,                 1.0094,                0.90133,                0.89251,                 0.9227,                0.84657,                0.51028,                0.43905,                0.93517,                0.00505,                0.00505,                0.00505
                     78,                0.60988,                  0.512,                 1.0071,                0.89837,                0.89107,                0.92083,                0.84524,                0.51119,                 0.4461,                0.93461,               0.004984,               0.004984,               0.004984
                     79,                0.60615,                0.50917,                 1.0072,                0.90357,                0.88973,                0.92291,                0.84753,                0.50949,                0.43298,                0.93495,               0.004918,               0.004918,               0.004918
                     80,                0.60033,                 0.5028,                 1.0045,                0.91198,                0.87883,                0.92201,                0.84567,                0.50576,                0.42915,                0.93372,               0.004852,               0.004852,               0.004852
                     81,                 0.6053,                0.50779,                 1.0088,                0.91126,                0.88179,                 0.9215,                0.84841,                0.50834,                 0.4331,                0.93505,               0.004786,               0.004786,               0.004786
                     82,                 0.6093,                0.50844,                 1.0099,                0.90193,                 0.8921,                0.92223,                0.84684,                0.50584,                0.42718,                0.93404,                0.00472,                0.00472,                0.00472
                     83,                0.59754,                0.49993,                 1.0044,                 0.8999,                0.89433,                0.92369,                0.84824,                0.50745,                0.42987,                0.93591,               0.004654,               0.004654,               0.004654
                     84,                0.59917,                0.50116,                 1.0075,                 0.8959,                0.88994,                 0.9217,                0.84834,                 0.5035,                0.43667,                0.93276,               0.004588,               0.004588,               0.004588
                     85,                0.59535,                0.50158,                 1.0013,                0.89348,                0.88572,                0.91628,                 0.8434,                0.50154,                0.44706,                 0.9315,               0.004522,               0.004522,               0.004522
                     86,                0.60137,                0.50269,                 1.0085,                 0.8935,                0.88663,                 0.9178,                0.84432,                0.50382,                0.44051,                 0.9321,               0.004456,               0.004456,               0.004456
                     87,                0.58534,                0.48758,                0.99528,                0.89588,                0.89442,                0.92173,                0.84781,                0.50228,                0.43751,                0.93065,                0.00439,                0.00439,                0.00439
                     88,                0.58998,                0.48558,                 0.9997,                0.89637,                0.89537,                0.92134,                0.84783,                0.50126,                0.42843,                0.93154,               0.004324,               0.004324,               0.004324
                     89,                0.58779,                0.47993,                0.99757,                0.90057,                0.89324,                0.92172,                0.84938,                0.50089,                0.43328,                0.93022,               0.004258,               0.004258,               0.004258
                     90,                0.58756,                0.48514,                0.99872,                0.89714,                0.89561,                0.92234,                0.84862,                0.50042,                0.43143,                0.93077,               0.004192,               0.004192,               0.004192
                     91,                0.58756,                0.48087,                 0.9997,                0.90307,                0.89301,                0.92261,                0.85119,                0.49963,                0.43021,                0.92998,               0.004126,               0.004126,               0.004126
                     92,                0.58175,                0.47846,                0.99523,                0.90269,                0.88885,                0.92213,                0.85148,                0.49923,                0.42763,                0.93074,                0.00406,                0.00406,                0.00406
                     93,                0.57681,                0.47117,                0.99283,                0.90795,                0.88697,                0.92235,                0.85099,                0.49956,                 0.4262,                0.93157,               0.003994,               0.003994,               0.003994
                     94,                 0.5824,                0.47046,                0.99497,                 0.9047,                0.89005,                0.92183,                0.84983,                0.50136,                0.42778,                0.93348,               0.003928,               0.003928,               0.003928
                     95,                0.57889,                0.47352,                0.99499,                0.89574,                0.89444,                0.92143,                0.84916,                0.50153,                0.42964,                0.93295,               0.003862,               0.003862,               0.003862
                     96,                0.58099,                0.47486,                0.99584,                 0.9003,                0.89555,                0.92293,                0.84966,                0.50384,                0.42687,                0.93524,               0.003796,               0.003796,               0.003796
                     97,                0.57276,                0.46483,                0.98931,                0.89903,                0.89609,                0.92299,                0.85084,                 0.5019,                0.42407,                0.93434,                0.00373,                0.00373,                0.00373
